"","sample.id","EV1","EV2","EV3","EV4"
"1","CTRL_230",-0.00227130339700621,0.00335307861024262,0.000112946083353286,0.000916663200615484
"2","CTRL_231",-0.00294225463603204,0.00433515780468452,0.000285169526534859,0.00105641188582645
"3","CTRL_232",-0.00291457205808629,0.00429993868663222,0.000284140388158765,0.00109593357980278
"4","CTRL_233",-0.00296035066151175,0.00438176875056231,0.00031552606999221,0.00104462238458159
"5","CTRL_234",-0.00282624196724131,0.0041817439076575,0.000297435552503831,0.000983113723142817
"6","CTRL_235",-0.00296962049062548,0.00439025508803981,0.000294787985576452,0.00107699567526819
"7","CTRL_236",-0.00283508756032453,0.00422335737683149,0.000279225313288608,0.00102856243042523
"8","CTRL_237",-0.00295440007901942,0.00437007836604001,0.000317581790966816,0.00106682036096907
"9","GPC004760",-0.00277045244622691,0.00409116805133139,0.000247833660411868,0.00117280628810684
"10","GPC004830",-0.00272065134896745,0.00400439030147559,0.000176287557962345,0.00140419288233951
"11","GPC004940",-0.00274990430923643,0.00405832901657279,0.000183077036091302,0.00157127570148502
"12","GPC005030",-0.00279257228893844,0.00425511315198225,0.000242417043226275,0.00134551736432681
"13","GPC005140",-0.00280923236842853,0.00418110815690624,0.000219720686551284,0.00156485905014921
"14","GPC005240",-0.00272558985952186,0.00404009850407358,0.000193602179369166,0.00145313481859385
"15","GPC005350",-0.00270136814507156,0.00400544641426029,0.000208509789190026,0.00155219686859893
"16","GPC005450",-0.00267806200887368,0.00394512737716146,0.000229224216702878,0.00158219266711309
"17","GPC005510",-0.00279258049951159,0.00427908713139204,0.000313076829217481,0.00123128627421983
"18","GPC005580",-0.00267867448781159,0.00397689279880932,0.000192078483381764,0.00151682384568111
"19","GPC004750",-0.00266568530279648,0.00397076439261224,0.000214253549575089,0.00152011357795088
"20","GPC005690",-0.00266275031966449,0.00396647437327744,0.000184486196518247,0.00154627984897109
"21","GPC005780",-0.00282559025701313,0.00422904655204662,0.000241338641739594,0.00127345740063303
"22","GPC005870",-0.00272547740503754,0.00406121642050999,0.000229511654498207,0.00155674324910171
"23","GPC005970",-0.00278073043214457,0.00416720144333033,0.000245295292500167,0.00106125182325774
"24","GPC006060",-0.00277895632795667,0.00413810490755378,0.000218949073080224,0.00135346956558885
"25","GPC006150",-0.00275760904736688,0.00410546907759314,0.000282683579902494,0.00155335388461997
"26","GPC006250",-0.00276196977685309,0.00404426772086104,0.000230216998668467,0.0015307343238317
"27","GPC006350",-0.00280122376319108,0.00410715000899998,0.000211753642999029,0.00148306824052994
"28","GPC006460",-0.00276382201428929,0.00407484731638856,0.000219748167875996,0.00157582315715739
"29","GPC006570",-0.0027887763126848,0.00432430800769031,0.000295492588576632,0.00122912491945555
"30","GPC005680",-0.00279133754735207,0.00419252886661038,0.000261962535060228,0.00135451796637649
"31","GPC006690",-0.00270631162741694,0.00396961119080188,0.000197123477323118,0.00155018481890685
"32","GPC006900",-0.00270007119507065,0.00399438915704973,0.000214785384472796,0.00150678128737824
"33","GPC007010",-0.00270296251110829,0.00401588132152224,0.000198642081325005,0.00160793683220029
"34","GPC007120",-0.00281573118537883,0.00410904253875567,0.000315276860011467,0.00107145578116797
"35","GPC007230",-0.00271803909466231,0.00401096357509421,0.000204895931131986,0.00137755082544488
"36","GPC007340",-0.00276405916202455,0.00412176225614487,0.0002063720961188,0.00158720439354658
"37","GPC007450",-0.00280255916633077,0.00421193143407738,0.000247506394369209,0.00115888088170083
"38","GPC007560",-0.00269924166296591,0.00415155550668151,0.000290677911211518,0.00115440111958341
"39","GPC007670",-0.00262830926461818,0.00392997203807806,0.000259149610078027,0.00131817699418297
"40","GPC006680",-0.00275961973630274,0.00410760181763673,0.000191890244040507,0.00158600377687435
"41","GPC007790",-0.00273301030356336,0.00406296169937857,0.000187702742743982,0.00157401099159768
"42","GPC007900",-0.00275243051941604,0.00408955444591704,0.000234559807659273,0.00151227251672161
"43","GPC008010",-0.00267383936870863,0.00397186110215409,0.000236301939213368,0.00161193161188143
"44","GPC008120",-0.00276742010520265,0.00404673221895357,0.00022236521157417,0.00143240986738601
"45","GPC008230",-0.00257486406439563,0.00379230424319453,0.000286655893401317,0.0013446733667634
"46","GPC008340",-0.00279058914366365,0.00413045671711585,0.00025813538327088,0.00140311960092676
"47","GPC008450",-0.00276405014009597,0.00403145355708054,0.000240791377828094,0.00140788017698263
"48","GPC008560",-0.00253419105944105,0.00369055786823964,0.000253791779073191,0.00128619758132795
"49","GPC008670",-0.0027925244205223,0.00411928779889802,0.000218097669275846,0.00124931953039707
"50","GPC008780",-0.00271131128176206,0.00400282344306628,0.000230142748162264,0.0014723628578544
